run_id,version,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,risk_reward_at_open,heat_pips,mae_pips,mfe_pips,duration_minutes,profit_pips,r_multiple,soft_exit_saved,soft_exit_outcome,m5_prev_open,m5_prev_high,m5_prev_low,m5_prev_close,m5_prev_volume,m5_last_open,m5_last_high,m5_last_low,m5_last_close,m5_last_volume,m5_close_open,m5_close_high,m5_close_low,m5_close_close,m5_close_volume,m15_ema20,m15_ema50,m15_ema200,m15_rsi,m15_macd_hist,m15_atr,m15_trend,h1_ema20,h1_ema50,h1_ema200,h1_rsi,h1_macd_hist,h1_atr,h1_trend,close_m15_ema20,close_m15_ema50,close_m15_ema200,close_m15_rsi,close_m15_macd_hist,close_m15_atr,close_m15_trend,close_h1_ema20,close_h1_ema50,close_h1_ema200,close_h1_rsi,close_h1_macd_hist,close_h1_atr,close_h1_trend
grid_20251108T163755,1,AUDUSD-2025-09-30T02:05:00.000Z-0,AUDUSD,BUY,2025-09-30T02:05:00.000Z,0.65837,2025-09-30T04:30:00.000Z,0.65971,0.6577,0.65971,hard_tp,2,0,0,16.95,145,13.39,2,0,,0.65785,0.65815,0.65785,0.65815,,0.65828,0.65837,0.65828,0.65837,,0.66002,0.66007,0.66002,0.66007,,0.65818,0.65785,0.6558,55,0,0.00041,bullish,0.65766,0.65695,0.65908,73.77,0,0.00062,bullish,0.65891,0.65832,0.65608,70.28,0.0001,0.00054,bullish,0.65809,0.65718,0.65902,76.99,0.0002,0.00068,bullish
grid_20251108T163755,1,AUDUSD-2025-09-30T02:10:00.000Z-1,AUDUSD,BUY,2025-09-30T02:10:00.000Z,0.65841,2025-09-30T04:30:00.000Z,0.65984,0.6577,0.65984,hard_tp,2,0,0,16.51,140,14.26,2,0,,0.65828,0.65837,0.65828,0.65837,,0.65837,0.65841,0.65837,0.65841,,0.66002,0.66007,0.66002,0.66007,,0.65818,0.65785,0.6558,55,0,0.00041,bullish,0.65766,0.65695,0.65908,73.77,0,0.00062,bullish,0.65891,0.65832,0.65608,70.28,0.0001,0.00054,bullish,0.65809,0.65718,0.65902,76.99,0.0002,0.00068,bullish
grid_20251108T163755,1,AUDUSD-2025-10-02T03:10:00.000Z-9,AUDUSD,BUY,2025-10-02T03:10:00.000Z,0.66186,2025-10-02T04:00:00.000Z,0.66177,0.66136,0.66286,soft_exit,2,3.94,3.94,0,50,-0.88,-0.18,1,SL,0.66164,0.66164,0.66151,0.66151,,0.66159,0.66186,0.66159,0.66186,,0.66177,0.66177,0.66177,0.66177,,0.66167,0.66153,0.66111,54.62,0.0001,0.0004,bullish,0.66149,0.66075,0.65885,53.8,0,0.00073,bullish,0.66167,0.66154,0.66118,50.16,0,0.00036,bullish,0.66153,0.6608,0.65887,55.22,0,0.00067,bullish
grid_20251108T163755,1,AUDUSD-2025-10-02T08:30:00.000Z-13,AUDUSD,BUY,2025-10-02T08:30:00.000Z,0.66234,2025-10-02T08:45:00.000Z,0.66194,0.66194,0.66314,hard_sl,2,4.38,4.38,0,15,-4,-1,0,,0.66212,0.66221,0.66212,0.66221,,0.6623,0.66234,0.6623,0.66234,,0.66199,0.66212,0.6619,0.66212,,0.66205,0.66182,0.66137,52.58,0,0.00033,bullish,0.66177,0.66101,0.65893,58.11,0,0.00061,bullish,0.66207,0.66184,0.66138,58.37,0,0.00035,bullish,0.66177,0.66101,0.65893,58.11,0,0.00061,bullish
grid_20251108T163755,1,AUDUSD-2025-10-06T00:15:00.000Z-17,AUDUSD,SELL,2025-10-06T00:15:00.000Z,0.65954,2025-10-06T00:50:00.000Z,0.66,0.66,0.65863,hard_sl,2,4.79,4.79,0,35,-4.55,-1,0,,0.65959,0.65959,0.65959,0.65959,,0.65967,0.65967,0.65954,0.65954,,0.65998,0.66002,0.65998,0.66002,,0.65995,0.65999,0.6608,45.32,-0.0001,0.00041,bearish,0.66029,0.66041,0.65902,47.3,-0.0001,0.0007,bearish,0.65994,0.65999,0.66078,51.08,-0.0001,0.00039,bearish,0.66029,0.66041,0.65902,47.3,-0.0001,0.0007,bearish
grid_20251108T163755,1,AUDUSD-2025-10-09T11:15:00.000Z-38,AUDUSD,BUY,2025-10-09T11:15:00.000Z,0.65963,2025-10-09T12:25:00.000Z,0.66045,0.65922,0.66045,hard_tp,2,0.44,0.44,10.02,70,8.22,2,0,,0.65937,0.65941,0.65937,0.65941,,0.65937,0.65963,0.65937,0.65963,,0.66037,0.66063,0.66037,0.66055,,0.65932,0.65925,0.65846,54.82,0.0001,0.00046,bullish,0.65917,0.65902,0.65992,56.19,0,0.00106,bullish,0.6596,0.65938,0.65847,61.46,0.0002,0.0004,bullish,0.65933,0.65909,0.65993,60.73,0.0001,0.0011,bullish
grid_20251108T163755,1,AUDUSD-2025-10-09T11:20:00.000Z-39,AUDUSD,BUY,2025-10-09T11:20:00.000Z,0.65967,2025-10-09T12:25:00.000Z,0.66058,0.65922,0.66058,hard_tp,2,0.87,0.87,9.59,65,9.09,2,0,,0.65937,0.65963,0.65937,0.65963,,0.65959,0.65967,0.65959,0.65967,,0.66037,0.66063,0.66037,0.66055,,0.65932,0.65925,0.65846,54.82,0.0001,0.00046,bullish,0.65917,0.65902,0.65992,56.19,0,0.00106,bullish,0.6596,0.65938,0.65847,61.46,0.0002,0.0004,bullish,0.65933,0.65909,0.65993,60.73,0.0001,0.0011,bullish
grid_20251108T163755,1,AUDUSD-2025-10-09T11:25:00.000Z-40,AUDUSD,BUY,2025-10-09T11:25:00.000Z,0.65976,2025-10-09T12:35:00.000Z,0.66084,0.65922,0.66084,hard_tp,2,0,0,12.65,70,10.83,2,0,,0.65959,0.65967,0.65959,0.65967,,0.65959,0.65976,0.65959,0.65976,,0.66094,0.66103,0.66094,0.66103,,0.65932,0.65925,0.65846,54.82,0.0001,0.00046,bullish,0.65917,0.65902,0.65992,56.19,0,0.00106,bullish,0.65969,0.65943,0.65848,62.21,0.0002,0.00042,bullish,0.65933,0.65909,0.65993,60.73,0.0001,0.0011,bullish
