run_id,version,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,risk_reward_at_open,heat_pips,mae_pips,mfe_pips,duration_minutes,profit_pips,r_multiple,soft_exit_saved,soft_exit_outcome,m5_prev_open,m5_prev_high,m5_prev_low,m5_prev_close,m5_prev_volume,m5_last_open,m5_last_high,m5_last_low,m5_last_close,m5_last_volume,m5_close_open,m5_close_high,m5_close_low,m5_close_close,m5_close_volume,m15_ema20,m15_ema50,m15_ema200,m15_rsi,m15_macd_hist,m15_atr,m15_trend,h1_ema20,h1_ema50,h1_ema200,h1_rsi,h1_macd_hist,h1_atr,h1_trend,close_m15_ema20,close_m15_ema50,close_m15_ema200,close_m15_rsi,close_m15_macd_hist,close_m15_atr,close_m15_trend,close_h1_ema20,close_h1_ema50,close_h1_ema200,close_h1_rsi,close_h1_macd_hist,close_h1_atr,close_h1_trend
grid_20251108T163755,1,USDCAD-2025-10-01T06:25:00.000Z-0,USDCAD,SELL,2025-10-01T06:25:00.000Z,1.391,2025-10-01T07:15:00.000Z,1.39139,1.39195,1.38958,soft_exit,1.5,6.3,6.3,7,50,-3.9,-0.41,1,SL,1.3914,1.3918,1.3911,1.39145,,1.39142,1.39145,1.3908,1.391,,1.39122,1.39163,1.3908,1.39139,,1.39188,1.39202,1.39187,33.55,-0.0002,0.00083,bearish,1.39187,1.39189,1.38753,42.75,-0.0001,0.00128,bearish,1.39173,1.39192,1.39186,55.96,0,0.00098,bearish,1.39189,1.39189,1.38759,51.3,0,0.00136,bearish
grid_20251108T163755,1,USDCAD-2025-10-01T12:05:00.000Z-1,USDCAD,BUY,2025-10-01T12:05:00.000Z,1.39343,2025-10-01T12:15:00.000Z,1.39205,1.39205,1.3955,hard_sl,1.5,24.3,24.3,2,10,-13.8,-1,0,,1.3927,1.39292,1.3922,1.39286,,1.39286,1.39346,1.3925,1.39343,,1.39326,1.39347,1.391,1.39186,,1.39247,1.39223,1.3919,59.11,0.0001,0.00097,bullish,1.39218,1.39202,1.38791,55.79,0.0001,0.00151,bullish,1.39246,1.39223,1.3919,49.39,0,0.00108,bullish,1.39218,1.39202,1.38791,55.79,0.0001,0.00151,bullish
grid_20251108T163755,1,USDCAD-2025-10-06T13:00:00.000Z-2,USDCAD,BUY,2025-10-06T13:00:00.000Z,1.39643,2025-10-06T14:15:00.000Z,1.39603,1.39525,1.3982,soft_exit,1.5,10.3,10.3,3.3,75,-4,-0.34,1,SL,1.39586,1.3962,1.3954,1.39613,,1.3958,1.3965,1.3957,1.39643,,1.39597,1.3961,1.3954,1.39603,,1.39582,1.39564,1.39535,63.91,0.0001,0.00092,bullish,1.39552,1.39527,1.39289,58.74,0.0002,0.00126,bullish,1.39595,1.39574,1.39542,49.3,0,0.00097,bullish,1.3955,1.39527,1.39294,48.4,0.0001,0.00128,bullish
grid_20251108T163755,1,USDCAD-2025-10-06T20:45:00.000Z-3,USDCAD,SELL,2025-10-06T20:45:00.000Z,1.3938,2025-10-06T22:45:00.000Z,1.39433,1.39467,1.39249,soft_exit,1.5,7.2,7.2,3,120,-5.3,-0.61,1,SL,1.39435,1.39452,1.394,1.3942,,1.39443,1.39446,1.3936,1.3938,,1.39441,1.39447,1.3939,1.39433,,1.39479,1.39511,1.39553,37.33,-0.0001,0.0008,bearish,1.39515,1.39516,1.39321,40.22,-0.0001,0.00134,bearish,1.39443,1.39485,1.39552,39.16,0,0.00071,bearish,1.39495,1.39507,1.39328,40.35,-0.0001,0.00122,bearish
grid_20251108T163755,1,USDCAD-2025-10-07T14:30:00.000Z-4,USDCAD,SELL,2025-10-07T14:30:00.000Z,1.3941,2025-10-07T14:50:00.000Z,1.39519,1.39519,1.39246,hard_sl,1.5,12.9,12.9,1,20,-10.9,-1,0,,1.39453,1.39504,1.3943,1.39496,,1.39494,1.39497,1.394,1.3941,,1.39503,1.39539,1.3945,1.39499,,1.39517,1.39518,1.39542,43.07,-0.0001,0.00102,bearish,1.39509,1.39509,1.39374,44.86,0,0.00116,bearish,1.39513,1.39516,1.39542,40.2,-0.0001,0.00106,bearish,1.39509,1.39509,1.39374,44.86,0,0.00116,bearish
grid_20251108T163755,1,USDCAD-2025-10-07T15:15:00.000Z-5,USDCAD,SELL,2025-10-07T15:15:00.000Z,1.394,2025-10-07T16:15:00.000Z,1.39503,1.39529,1.39206,soft_exit,1.5,11.6,11.6,5,60,-10.3,-0.8,1,SL,1.39503,1.39514,1.3941,1.39443,,1.39444,1.39447,1.3938,1.394,,1.39482,1.39514,1.3944,1.39503,,1.39497,1.39509,1.3954,32.83,-0.0001,0.00106,bearish,1.39507,1.39508,1.39376,48.24,0,0.00121,bearish,1.39494,1.39506,1.39537,53.06,0,0.0011,bearish,1.39509,1.39509,1.39379,51.33,0,0.00127,bearish
grid_20251108T163755,1,USDCAD-2025-10-09T05:00:00.000Z-6,USDCAD,SELL,2025-10-09T05:00:00.000Z,1.393,2025-10-09T05:15:00.000Z,1.39375,1.39375,1.39187,hard_sl,1.5,7.5,7.5,1,15,-7.5,-1,0,,1.39347,1.39357,1.3931,1.39352,,1.39352,1.39356,1.3929,1.393,,1.39352,1.39375,1.3932,1.3934,,1.39399,1.39452,1.39518,34.81,0,0.00069,bearish,1.3947,1.395,1.39415,42.84,-0.0002,0.0011,bearish,1.39396,1.39449,1.39518,38.75,0,0.00068,bearish,1.3947,1.395,1.39415,42.84,-0.0002,0.0011,bearish
grid_20251108T163755,1,USDCAD-2025-10-09T14:00:00.000Z-7,USDCAD,BUY,2025-10-09T14:00:00.000Z,1.39793,2025-10-09T16:30:00.000Z,1.4021,1.39515,1.4021,hard_tp,1.5,6.3,6.3,42.1,150,41.7,1.5,0,,1.39649,1.39714,1.3961,1.39706,,1.39703,1.39803,1.3966,1.39793,,1.40184,1.40214,1.4013,1.40203,,1.39547,1.39511,1.39516,75.95,0.0003,0.00122,bullish,1.39557,1.3953,1.39429,72.12,0.0004,0.00165,bullish,1.39912,1.39709,1.39546,80.85,0.0004,0.00132,bullish,1.39668,1.39579,1.39438,77.06,0.0008,0.00178,bullish
